atlas_name,aware_tier,aware_category,who_matched_name,note,source
Amikacin,1,Access,Amikacin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Amoxycillin clavulanate,1,Access,Amoxicillin/clavulanic-acid,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ampicillin,1,Access,Ampicillin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ampicillin sulbactam,1,Access,Ampicillin/sulbactam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Azithromycin,2,Watch,Azithromycin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Aztreonam,3,Reserve,Aztreonam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Cefepime,2,Watch,Cefepime,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Cefiderocol,3,Reserve,Cefiderocol,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Cefixime,2,Watch,Cefixime,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Cefoxitin,2,Watch,Cefoxitin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Cefpodoxime,2,Watch,Cefpodoxime-proxetil,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftaroline,3,Reserve,Ceftaroline-fosamil,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftazidime,2,Watch,Ceftazidime,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftazidime avibactam,3,Reserve,Ceftazidime/avibactam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftibuten,2,Watch,Ceftibuten,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftolozane tazobactam,3,Reserve,Ceftolozane/tazobactam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ceftriaxone,2,Watch,Ceftriaxone,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ciprofloxacin,2,Watch,Ciprofloxacin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Clarithromycin,2,Watch,Clarithromycin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Clindamycin,1,Access,Clindamycin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Colistin,3,Reserve,Colistin_IV,IV formulation,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Daptomycin,3,Reserve,Daptomycin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Doripenem,2,Watch,Doripenem,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Ertapenem,2,Watch,Ertapenem,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Erythromycin,2,Watch,Erythromycin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Gentamicin,1,Access,Gentamicin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Imipenem,2,Watch,Imipenem/cilastatin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Levofloxacin,2,Watch,Levofloxacin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Linezolid,3,Reserve,Linezolid,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Meropenem,2,Watch,Meropenem,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Meropenem vaborbactam,3,Reserve,Meropenem/vaborbactam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Metronidazole,1,Access,Metronidazole_IV,IV formulation,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Minocycline,3,Reserve,Minocycline_IV,WHO lists only Minocycline_IV (Reserve),WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Moxifloxacin,2,Watch,Moxifloxacin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Oxacillin,1,Access,Oxacillin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Penicillin,1,Access,Benzylpenicillin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Piperacillin tazobactam,2,Watch,Piperacillin/tazobactam,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Quinupristin dalfopristin,3,Reserve,Dalfopristin/quinupristin,WHO name: Dalfopristin/quinupristin,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Teicoplanin,2,Watch,Teicoplanin,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Tetracycline,1,Access,Tetracycline,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Tigecycline,3,Reserve,Tigecycline,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Trimethoprim sulfa,1,Access,Sulfamethoxazole/trimethoprim,,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
Vancomycin,2,Watch,Vancomycin_IV,IV formulation,WHO AWaRe classification 2023 (WHO-MHP-HPS-EML-2023.04)
