Antibiotic,AUC,n,pos
Ceftazidime,0.8872180451127819,64.0,7.0
Gentamicin,0.8555555555555555,99.0,9.0
Meropenem,0.8391203703703703,153.0,9.0
Cefepime,0.8074074074074075,96.0,6.0
Ceftriaxone,0.8,30.0,5.0
Ciprofloxacin,0.7784090909090909,74.0,8.0
Imipenem,0.7411764705882353,90.0,5.0
Meropenem vaborbactam,0.7289473684210527,43.0,5.0
Tigecycline,0.7133825079030558,159.0,13.0
Ampicillin sulbactam,0.70859375,56.0,16.0
Ceftazidime avibactam,0.6761133603238867,70.0,13.0
Levofloxacin,0.4967893835616438,162.0,16.0
