Antibiotic,AUC,n,pos
Ceftazidime,0.87468671679198,64.0,7.0
Meropenem,0.8607253086419753,153.0,9.0
Gentamicin,0.8444444444444444,99.0,9.0
Cefepime,0.8055555555555556,96.0,6.0
Ceftriaxone,0.8,30.0,5.0
Tigecycline,0.761854583772392,159.0,13.0
Meropenem vaborbactam,0.7236842105263158,43.0,5.0
Ciprofloxacin,0.7064393939393939,74.0,8.0
Imipenem,0.6870588235294117,90.0,5.0
Ceftazidime avibactam,0.6531713900134952,70.0,13.0
Ampicillin sulbactam,0.61953125,56.0,16.0
Levofloxacin,0.5269691780821918,162.0,16.0
