Species,Year,Antibiotic,n_tested,n_R,n_S,n_I,n_countries,prop_R,prop_S,prop_I,observed
Achromobacter insolitus,2019,Amikacin,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter insolitus,2019,Aztreonam,4,4,0,0,2,1.0,0.0,0.0,0
Achromobacter insolitus,2019,Cefepime,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter insolitus,2019,Ceftazidime,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter insolitus,2019,Ciprofloxacin,4,1,1,2,2,0.25,0.25,0.5,0
Achromobacter insolitus,2019,Gentamicin,4,3,0,1,2,0.75,0.0,0.25,0
Achromobacter insolitus,2019,Imipenem,4,0,4,0,2,0.0,1.0,0.0,0
Achromobacter insolitus,2019,Levofloxacin,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter insolitus,2019,Meropenem,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter insolitus,2019,Trimethoprim sulfa,4,1,3,0,2,0.25,0.75,0.0,0
Achromobacter xylosoxidans,2018,Amikacin,3,3,0,0,3,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2018,Aztreonam,3,3,0,0,3,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2018,Cefepime,3,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,0
Achromobacter xylosoxidans,2018,Ceftazidime,3,0,3,0,3,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2018,Ciprofloxacin,3,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,0
Achromobacter xylosoxidans,2018,Gentamicin,3,3,0,0,3,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2018,Imipenem,3,0,3,0,3,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2018,Levofloxacin,3,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
Achromobacter xylosoxidans,2018,Meropenem,3,0,2,1,3,0.0,0.6666666666666666,0.3333333333333333,0
Achromobacter xylosoxidans,2018,Trimethoprim sulfa,3,1,2,0,3,0.3333333333333333,0.6666666666666666,0.0,0
Achromobacter xylosoxidans,2019,Amikacin,7,7,0,0,5,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2019,Aztreonam,7,7,0,0,5,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2019,Cefepime,7,6,0,1,5,0.8571428571428571,0.0,0.14285714285714285,0
Achromobacter xylosoxidans,2019,Ceftazidime,7,0,4,3,5,0.0,0.5714285714285714,0.42857142857142855,0
Achromobacter xylosoxidans,2019,Ciprofloxacin,7,5,1,1,5,0.7142857142857143,0.14285714285714285,0.14285714285714285,0
Achromobacter xylosoxidans,2019,Gentamicin,7,7,0,0,5,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2019,Imipenem,7,0,6,1,5,0.0,0.8571428571428571,0.14285714285714285,0
Achromobacter xylosoxidans,2019,Levofloxacin,7,2,4,1,5,0.2857142857142857,0.5714285714285714,0.14285714285714285,0
Achromobacter xylosoxidans,2019,Meropenem,7,0,7,0,5,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2019,Trimethoprim sulfa,7,0,7,0,5,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2023,Amikacin,2,2,0,0,1,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2023,Aztreonam,2,2,0,0,1,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2023,Cefepime,2,0,0,2,1,0.0,0.0,1.0,0
Achromobacter xylosoxidans,2023,Ceftazidime,2,0,2,0,1,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2023,Ciprofloxacin,2,0,0,2,1,0.0,0.0,1.0,0
Achromobacter xylosoxidans,2023,Gentamicin,2,2,0,0,1,1.0,0.0,0.0,0
Achromobacter xylosoxidans,2023,Imipenem,2,0,2,0,1,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2023,Levofloxacin,2,0,2,0,1,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2023,Meropenem,2,0,2,0,1,0.0,1.0,0.0,0
Achromobacter xylosoxidans,2023,Trimethoprim sulfa,2,0,2,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Amikacin,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Aztreonam,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Cefepime,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Ceftazidime,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Ciprofloxacin,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Gentamicin,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Imipenem,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Levofloxacin,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Meropenem,1,0,1,0,1,0.0,1.0,0.0,0
Acidaminococcus fermentans,2019,Trimethoprim sulfa,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Amikacin,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Cefepime,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Ceftazidime,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Ceftriaxone,1,0,0,1,1,0.0,0.0,1.0,0
Acinetobacter alcaligenes,2009,Levofloxacin,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Meropenem,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Minocycline,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter alcaligenes,2009,Piperacillin tazobactam,1,0,1,0,1,0.0,1.0,0.0,0
Acinetobacter anitratus,2004,Amikacin,33,2,30,1,4,0.06060606060606061,0.9090909090909091,0.030303030303030304,1
Acinetobacter anitratus,2004,Cefepime,33,9,21,3,4,0.2727272727272727,0.6363636363636364,0.09090909090909091,1
Acinetobacter anitratus,2004,Ceftazidime,33,11,21,1,4,0.3333333333333333,0.6363636363636364,0.030303030303030304,1
Acinetobacter anitratus,2004,Ceftriaxone,33,12,13,8,4,0.36363636363636365,0.3939393939393939,0.24242424242424243,1
Acinetobacter anitratus,2004,Imipenem,33,4,29,0,4,0.12121212121212122,0.8787878787878788,0.0,1
